Name,ID,Parent,Parent ID,All Parents,Address,QR/Bar code,URL,Description,Teams in Charge,Vendors,Created by,Created on,Last updated,Thumbnail,Attachments
General,2648754,,,,,,https://app.getmaintainx.com/locations/2648754?organizationId=342508,This is the default location for Hudson Cannabis. When you create assets without assigning a location they will be placed here.,,,Daniel Crawford,2024-12-06 12:14:50,2024-12-06 12:14:50,,
Hudson NY,2648779,,,,67 Pinewood Rd Hudson NY 12534,6ZSVIU852GTH,https://app.getmaintainx.com/locations/2648779?organizationId=342508,Main operations and cultivation,,"Robert Bradway's Plumbing & Heating Inc.,Veith Electric",Daniel Crawford,2024-12-06 12:31:26,2024-12-06 12:31:26,,
Processing,2648780,Hudson NY,2648779,Hudson NY,,,https://app.getmaintainx.com/locations/2648780?organizationId=342508,,Processing,,Daniel Crawford,2024-12-06 12:31:47,2024-12-06 12:31:47,,
Farmhouse,2652164,Hudson NY,2648779,Hudson NY,67 Pinewood Rd Hudson NY,GC09XC6EIMVB,https://app.getmaintainx.com/locations/2652164?organizationId=342508,Farmhouse Office,,,Daniel Crawford,2024-12-09 14:29:55,2024-12-09 14:29:55,,
Hash Lab,2661286,,,,,1T56XB8TLZIL3,https://app.getmaintainx.com/locations/2661286?organizationId=342508,,,,Daniel Crawford,2024-12-12 12:02:45,2024-12-12 12:02:45,,
1906,2661736,,,,,,https://app.getmaintainx.com/locations/2661736?organizationId=342508,,,,Daniel Crawford,2024-12-12 15:18:59,2024-12-12 15:18:59,,
Dry Room 1,2661737,,,,,,https://app.getmaintainx.com/locations/2661737?organizationId=342508,,,,Daniel Crawford,2024-12-12 15:18:59,2024-12-12 15:18:59,,
Extraction Lab,2661738,,,,,,https://app.getmaintainx.com/locations/2661738?organizationId=342508,,,,Daniel Crawford,2024-12-12 15:18:59,2024-12-12 15:18:59,,
Warehouse,2661739,,,,,,https://app.getmaintainx.com/locations/2661739?organizationId=342508,,,,Daniel Crawford,2024-12-12 15:18:59,2024-12-12 15:18:59,,
Cultivation,2661740,,,,,,https://app.getmaintainx.com/locations/2661740?organizationId=342508,,,,Daniel Crawford,2024-12-12 15:18:59,2024-12-12 15:18:59,,
Barn,2661741,,,,,,https://app.getmaintainx.com/locations/2661741?organizationId=342508,,,,Daniel Crawford,2024-12-12 15:18:59,2024-12-12 15:18:59,,
Mobile,2661742,,,,,,https://app.getmaintainx.com/locations/2661742?organizationId=342508,,,,Daniel Crawford,2024-12-12 15:18:59,2024-12-12 15:18:59,,
Main Campus,2661743,,,,,,https://app.getmaintainx.com/locations/2661743?organizationId=342508,,,Sausbiers,Daniel Crawford,2024-12-12 15:18:59,2024-12-12 15:18:59,,
Break Room,2661744,,,,,,https://app.getmaintainx.com/locations/2661744?organizationId=342508,,,,Daniel Crawford,2024-12-12 15:18:59,2024-12-12 15:18:59,,
Pre-Extraction,2661745,,,,,,https://app.getmaintainx.com/locations/2661745?organizationId=342508,,,,Daniel Crawford,2024-12-12 15:18:59,2024-12-12 15:18:59,,
Extraction,2661746,,,,,,https://app.getmaintainx.com/locations/2661746?organizationId=342508,,,,Daniel Crawford,2024-12-12 15:18:59,2024-12-12 15:18:59,,
Distribution,2661747,,,,,,https://app.getmaintainx.com/locations/2661747?organizationId=342508,,,,Daniel Crawford,2024-12-12 15:18:59,2024-12-12 15:18:59,,
Facilities,2661748,,,,,,https://app.getmaintainx.com/locations/2661748?organizationId=342508,,,,Daniel Crawford,2024-12-12 15:18:59,2024-12-12 15:18:59,,
