ID,Title,Status,Priority,Work Type,Description,URL,Global ID,Assigned to,Teams Assigned to,Requested by,Requested on,Created by,Created on,Planned Start Date,Due date,Estimated Time,Started on,Completed on,Completed by,Last updated,Recurrence,Location,Location ID,Asset,Asset ID,Categories,Vendors,Vendor IDs,Procedure Name,Procedure Template ID,Procedure Passes,Procedure Flags,Procedure Failures,Procedure Score (%),Time to Complete,Time Open,Time In Progress,Time On Hold,Work Request ID,Thumbnail,Attachments,Procedure Description,Meter ID,Meter Condition,Parent,Parent ID,Total Estimated Time,Parent Global ID,Is Parent?,Total Parts Cost,Total Time Cost,Total Reported Time,Additional Costs,Question 1,Answer 1,Question 2,Answer 2,Question 3,Answer 3,Question 4,Answer 4,Question 5,Answer 5,Question 6,Answer 6,Question 7,Answer 7,Question 8,Answer 8,Question 9,Answer 9,Question 10,Answer 10,Question 11,Answer 11,Question 12,Answer 12,Question 13,Answer 13,Question 14,Answer 14,Question 15,Answer 15
3,Service/ Pump System,DONE,MEDIUM,PREVENTIVE,Call a septic service to pump out the system and clean.,https://app.getmaintainx.com/workorders/44441984?organizationId=342508,44441984,Daniel Crawford,,,,Daniel Crawford,2024-12-09 14:32:26,,2024-12-11,1:00:00,2024-12-12 12:49:18,2024-12-12 12:49:18,Daniel Crawford,2024-12-12 12:49:18,Yearly|1,Farmhouse,2652164,Composting Toilet,7699100,,,,,,0,0,0,,70:16:52,70:16:52,,,,,,,,,,,,,false,$0.00,$0.00,0,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Service/ Pump System,DONE,MEDIUM,PREVENTIVE,Call a septic service to pump out the system and clean.,https://app.getmaintainx.com/workorders/44730163?organizationId=342508,44730163,Daniel Crawford,,,,Daniel Crawford,2024-12-12 12:49:18,2024-12-13 00:49:18,2025-12-11,1:00:00,2025-01-27 09:37:17,2025-01-27 09:37:17,Daniel Crawford,2025-01-27 09:37:17,Yearly|1,Farmhouse,2652164,Composting Toilet,7699100,,,,,,0,0,0,,1088:47:59,1088:47:59,,,,,,,,,,,,,false,$0.00,$0.00,0,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Water Tests,DONE,HIGH,PREVENTIVE,Get well testing completed for compliance prior to cultivation in the field,https://app.getmaintainx.com/workorders/44760893?organizationId=342508,44760893,Daniel Crawford,,,,Daniel Crawford,2024-12-12 15:24:05,2025-03-15 00:00:00,2025-04-01,1:00:00,2025-03-10 08:45:12,2025-04-17 13:20:43,Daniel Crawford,2025-04-17 13:20:43,Yearly|1,Field,2661752,Well #2 ( Outdoor Cultivation ),7741308,,Capital Region Environmental Lab,685855,,,0,0,0,,805:20:43,0,916:35:31,,,,,,,,,,,,false,$0.00,$0.00,0,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Repair Door Seal for 1906,DONE,HIGH,REACTIVE,Repair Door Seal on 1906 Door,https://app.getmaintainx.com/workorders/46074295?organizationId=342508,46074295,Daniel Crawford,,,,Daniel Crawford,2025-01-02 13:57:21,2025-01-02 00:00:00,2025-01-02,2:00:00,2025-01-02 13:57:27,2025-01-02 13:57:27,Daniel Crawford,2025-01-02 13:57:27,,1906,2661736,,,,,,,,0,0,0,,0:00:05,0:00:05,,,,https://app.getmaintainx.com/api/s3/uploads/3e2b2bcf-3299-411d-865e-f5835894d740_Screenshotfrom2025-01-0213-47-15.png,https://app.getmaintainx.com/api/s3/uploads/3e2b2bcf-3299-411d-865e-f5835894d740_Screenshotfrom2025-01-0213-47-15.png,,,,,,,,false,$0.00,$0.00,0,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Replace Water Heater,DONE,,REACTIVE,Water heater leaking in the extraction building.,https://app.getmaintainx.com/workorders/46074404?organizationId=342508,46074404,Daniel Crawford,,,,Daniel Crawford,2025-01-02 13:58:27,2025-01-01 00:00:00,2025-01-01,6:00:00,2025-01-02 13:58:49,2025-01-02 13:58:49,Daniel Crawford,2025-01-02 13:58:49,,Extraction,2661746,,,,,,,,0,0,0,,0:00:21,0:00:21,,,,,,,,,,,,,false,$0.00,$0.00,0,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Install Epoxy Flooring,DONE,,REACTIVE,Epoxy floor coating in the new Pre-roll production space,https://app.getmaintainx.com/workorders/46075463?organizationId=342508,46075463,Daniel Crawford,,,,Daniel Crawford,2025-01-02 14:09:09,2025-01-21 00:00:00,2025-02-27,48:00:00,2025-01-27 09:37:05,2025-03-18 14:29:07,Daniel Crawford,2025-03-18 14:29:07,,Processing,2648780,,,,,,Epoxy Floor,,0,0,0,,1357:29:06,153:37:05,1203:52:01,,,,https://app.getmaintainx.com/api/s3/uploads/51dc8117-2cc4-4f36-9022-d5159add0566_2023-ultra-hd-system.pdf,,,,,,,,false,$0.00,$0.00,0,$0.00,Rent Equipment,X,Grind Floor,X,Clean Floor,X,,,,,,,,,,,,,,,,,,,,,,,,
9,Sprocket stuck,DONE,MEDIUM,REACTIVE,"Motor piece needs to be removed

Requester contact information:
Alex@hudsonhemp.com",https://app.getmaintainx.com/workorders/46086271?organizationId=342508,46086271,Daniel Crawford,,Alex@hudsonhemp.com,2025-01-02 15:15:36,Daniel Crawford,2025-01-02 15:52:04,,,1:00:00,2025-01-02 20:37:39,2025-01-02 20:37:39,Daniel Crawford,2025-01-02 20:37:39,,Hudson NY,2648779,,,,,,,,0,0,0,,4:45:35,4:45:35,,,,https://app.getmaintainx.com/api/s3/uploads/419d062f-438c-4902-89bb-f36c9f739dc4_IMG_5710.jpeg,"https://app.getmaintainx.com/api/s3/uploads/ab61ea79-9d75-47d1-8a93-cd2825fa4b8f_IMG_5707.jpeg,https://app.getmaintainx.com/api/s3/uploads/81bc4022-6074-4988-bb65-c6d55c863e53_IMG_5708.jpeg,https://app.getmaintainx.com/api/s3/uploads/cb22d73b-6538-4cf1-a4e0-7916c0501f60_IMG_5709.jpeg,https://app.getmaintainx.com/api/s3/uploads/ebdf0c95-5ff8-408c-ada5-e8b3112f89df_IMG_5711.jpeg,https://app.getmaintainx.com/api/s3/uploads/419d062f-438c-4902-89bb-f36c9f739dc4_IMG_5710.jpeg",,,,,,,,false,$0.00,$0.00,0,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Set up outside storage pods with plywood,DONE,,REACTIVE,Michael Block- 1906. Need help making sure the forklift doesn't get stuck moving equipment from the pods to the storage containers.,https://app.getmaintainx.com/workorders/46102966?organizationId=342508,46102966,Daniel Crawford,,,2025-01-02 15:21:54,Daniel Crawford,2025-01-02 20:37:19,,,1:00:00,2025-01-02 20:37:23,2025-01-07 15:50:24,Daniel Crawford,2025-01-07 15:50:24,,Hudson NY,2648779,,,,,,,,0,0,0,,115:13:05,0:00:04,115:13:01,,,,,,,,,,,,false,$0.00,$0.00,0,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Willow Air Filter replacement,DONE,MEDIUM,REACTIVE,"Willow’s room need to have air filters replaced

Requester contact information:
Kelly@hudsonhemp.com",https://app.getmaintainx.com/workorders/46141761?organizationId=342508,46141761,Daniel Crawford,,Kelly@hudsonhemp.com,2025-01-03 08:11:28,Daniel Crawford,2025-01-03 08:19:18,2025-01-03 00:00:00,2025-01-03,1:00:00,2025-01-03 10:27:24,2025-01-03 10:27:24,Daniel Crawford,2025-01-03 10:27:24,,Processing,2648780,Willow Air,7741256,,,,,,0,0,0,,2:08:05,0:30:17,,1:37:48,,,,,,,,,,,false,$0.00,$0.00,0:10:00,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Refill all eye wash stations,DONE,MEDIUM,PREVENTIVE,Work with Michael D. to fill stations with disinfectant solution,https://app.getmaintainx.com/workorders/46158457?organizationId=342508,46158457,Daniel Crawford,,,,Daniel Crawford,2025-01-03 10:43:39,2025-01-07 00:00:00,2025-01-10,3:00:00,2025-01-30 14:33:54,2025-01-30 14:33:54,Daniel Crawford,2025-01-30 14:33:54,Monthly|3|1,Hudson NY,2648779,,,,,,Refill eye wash Stations,,0,0,0,,566:33:54,566:27:36,,0:06:18,,,,,,,,,,,false,$0.00,$0.00,0:30:00,$0.00,Refill eye wash station,"Drain station,Rinse station,Have a safety officer add disinfectant solution,Document  adding disinfectant solution,Refill with potable water,Document filling unit",,,,,,,,,,,,,,,,,,,,,,,,,,,,
